iter	Passed	Remaining
0	1	805
1	6	1713
2	7	1199
3	69	8677
4	77	7706
5	78	6428
6	84	5952
7	146	8989
8	146	8011
9	147	7216
10	147	6572
11	202	8221
12	202	7594
13	226	7873
14	226	7339
15	274	8310
16	281	8008
17	282	7560
18	282	7158
19	331	7952
20	337	7703
21	338	7353
22	343	7117
23	343	6820
24	344	6548
25	349	6366
26	349	6123
27	349	5899
28	350	5696
29	350	5496
30	361	5468
31	362	5298
32	363	5147
33	365	5015
34	420	5590
35	421	5426
36	421	5276
37	422	5138
38	423	5002
39	430	4950
40	459	5141
41	461	5033
42	462	4912
43	477	4945
44	478	4834
45	482	4760
46	483	4657
47	485	4568
48	492	4533
49	496	4467
50	498	4387
51	498	4296
52	499	4216
53	500	4134
54	561	4541
55	562	4457
56	562	4375
57	564	4300
58	572	4276
59	572	4201
60	573	4124
61	579	4096
62	580	4025
63	581	3959
64	581	3894
65	585	3850
66	592	3829
67	593	3769
68	655	4094
69	719	4416
70	727	4393
71	727	4324
72	728	4260
73	728	4194
74	752	4263
75	758	4232
76	760	4175
77	765	4139
78	765	4078
79	813	4271
80	819	4240
81	820	4180
82	822	4133
83	823	4077
84	823	4020
85	834	4017
86	837	3975
87	837	3921
88	842	3891
89	843	3842
90	844	3793
91	844	3746
92	849	3718
93	850	3675
94	902	3846
95	904	3806
96	905	3762
97	970	3979
98	971	3933
99	971	3887
100	972	3843
101	973	3797
102	990	3818
103	992	3777
104	992	3733
105	992	3690
106	992	3646
107	996	3618
108	1004	3603
109	1007	3573
110	1022	3581
111	1023	3545
112	1037	3554
113	1039	3518
114	1042	3491
115	1044	3458
116	1107	3626
117	1159	3753
118	1160	3714
119	1161	3678
120	1210	3792
121	1222	3788
122	1223	3750
123	1226	3719
124	1226	3680
125	1229	3648
126	1231	3617
127	1232	3580
128	1233	3547
129	1233	3511
130	1233	3475
131	1235	3444
132	1236	3412
133	1259	3440
134	1271	3437
135	1273	3407
136	1273	3374
137	1279	3355
138	1279	3322
139	1284	3302
140	1287	3277
141	1288	3248
142	1293	3228
143	1341	3315
144	1365	3342
145	1365	3311
146	1371	3294
147	1394	3316
148	1394	3286
149	1395	3256
150	1395	3226
151	1396	3196
152	1396	3167
153	1408	3164
154	1409	3137
155	1414	3120
156	1425	3114
157	1436	3110
158	1437	3083
159	1438	3055
160	1438	3028
161	1443	3012
162	1446	2990
163	1446	2963
164	1447	2939
165	1450	2918
166	1497	2985
167	1497	2959
168	1547	3030
169	1547	3004
170	1551	2984
171	1551	2958
172	1551	2933
173	1557	2917
174	1579	2933
175	1579	2908
176	1579	2882
177	1603	2901
178	1603	2876
179	1654	2941
180	1666	2937
181	1668	2914
182	1669	2892
183	1669	2867
184	1693	2882
185	1694	2861
186	1694	2836
187	1751	2905
188	1758	2893
189	1759	2870
190	1762	2851
191	1762	2828
192	1776	2826
193	1777	2802
194	1777	2780
195	1778	2757
196	1778	2735
197	1839	2805
198	1839	2782
199	1839	2759
200	1900	2826
201	1900	2804
202	1900	2781
203	1962	2847
204	1977	2846
205	1978	2823
206	1992	2820
207	2054	2883
208	2054	2860
209	2060	2845
210	2060	2822
211	2060	2799
212	2061	2777
213	2061	2754
214	2066	2738
215	2066	2716
216	2068	2697
217	2129	2754
218	2132	2736
219	2136	2719
220	2136	2697
221	2139	2679
222	2202	2736
223	2202	2714
224	2203	2692
225	2203	2671
226	2204	2650
227	2204	2630
228	2205	2609
229	2205	2588
230	2267	2639
231	2267	2619
232	2269	2600
233	2330	2649
234	2331	2629
235	2340	2617
236	2341	2598
237	2342	2578
238	2342	2558
239	2346	2541
240	2347	2522
241	2396	2554
242	2399	2538
243	2405	2524
244	2406	2504
245	2406	2484
246	2406	2465
247	2406	2445
248	2456	2476
249	2456	2456
250	2457	2437
251	2506	2466
252	2506	2447
253	2508	2429
254	2508	2410
255	2509	2391
256	2509	2373
257	2510	2354
258	2511	2336
259	2558	2361
260	2606	2387
261	2607	2368
262	2631	2371
263	2644	2363
264	2666	2364
265	2666	2346
266	2667	2327
267	2667	2309
268	2668	2291
269	2674	2278
270	2675	2261
271	2724	2283
272	2726	2266
273	2731	2253
274	2736	2238
275	2736	2221
276	2737	2203
277	2737	2186
278	2738	2169
279	2738	2151
280	2739	2134
281	2743	2121
282	2744	2104
283	2744	2087
284	2790	2105
285	2791	2088
286	2815	2089
287	2815	2072
288	2816	2056
289	2817	2040
290	2819	2024
291	2830	2016
292	2830	1999
293	2831	1983
294	2853	1982
295	2853	1966
296	2903	1984
297	2903	1968
298	2903	1952
299	2915	1943
300	2918	1929
301	2918	1913
302	2919	1898
303	2929	1888
304	2934	1876
305	2935	1860
306	2935	1845
307	2936	1830
308	2936	1815
309	2937	1800
310	2937	1784
311	2984	1798
312	2985	1783
313	2985	1768
314	2986	1753
315	3034	1767
316	3035	1752
317	3035	1737
318	3047	1729
319	3047	1714
320	3048	1699
321	3049	1685
322	3077	1686
323	3137	1704
324	3137	1689
325	3140	1676
326	3141	1662
327	3142	1647
328	3142	1633
329	3143	1619
330	3244	1656
331	3246	1642
332	3248	1628
333	3248	1614
334	3249	1600
335	3250	1586
336	3328	1609
337	3328	1595
338	3341	1587
339	3436	1617
340	3454	1610
341	3456	1597
342	3518	1610
343	3522	1597
344	3522	1582
345	3523	1568
346	3528	1555
347	3551	1551
348	3552	1536
349	3552	1522
350	3557	1510
351	3558	1496
352	3560	1482
353	3562	1469
354	3562	1455
355	3563	1441
356	3567	1429
357	3572	1416
